title,duration,duration_numeric
To All the Boys: Always and Forever - The Afterparty,36 min,36.0
Sarbath,113 min,113.0
Skater Girl,110 min,110.0
Trese After Dark,36 min,36.0
Wish Dragon,102 min,102.0
A Haunted House 2,86 min,86.0
Blind Intersections,91 min,91.0
Camellia Sisters,117 min,117.0
Copenhagen,99 min,99.0
Until Midnight,77 min,77.0
Awake,97 min,97.0
Confusion Na Wa,106 min,106.0
Tragic Jungle,97 min,97.0
Vampire Academy,104 min,104.0
A Private War,110 min,110.0
Kitty Love: An Homage to Cats,61 min,61.0
Small Chops,98 min,98.0
Breaking Boundaries: The Science Of Our Planet,74 min,74.0
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,60 min,60.0
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,60 min,60.0
Sweet & Sour,103 min,103.0
Trippin' with the Kandasamys,94 min,94.0
Xtreme,112 min,112.0
Alan Saldaña: Locked Up,49 min,49.0
Dancing Queens,111 min,111.0
From Stress to Happiness,58 min,58.0
Myriam Fares: The Journey,72 min,72.0
The Girl and the Gun,78 min,78.0
2 Hearts,101 min,101.0
A Perfect Ending,110 min,110.0
American Outlaws,94 min,94.0
And Then Came Lola,70 min,70.0
Battlefield Earth,118 min,118.0
Black Holes | The Edge of All We Know,99 min,99.0
Bliss,103 min,103.0
Carnaval,95 min,95.0
Cloudburst,93 min,93.0
Company of Heroes,101 min,101.0
Cradle 2 the Grave,101 min,101.0
Domestic Disturbance,89 min,89.0
Dream/Killer,109 min,109.0
Felon,104 min,104.0
Flipped,90 min,90.0
Fools Rush In,109 min,109.0
Gold Statue,145 min,145.0
Hostel: Part III,88 min,88.0
I Am Sam,132 min,132.0
Love Jones,109 min,109.0
Million Dollar Baby,133 min,133.0
Mosquita y Mari,85 min,85.0
Never Back Down 2: The Beatdown,104 min,104.0
Ninja Assassin,99 min,99.0
Population 436,93 min,93.0
Seven Souls in the Skull Castle: Season Moon Jogen,204 min,204.0
Seven Souls in the Skull Castle: Season Moon Kagen,212 min,212.0
Sniper: Legacy,98 min,98.0
Starsky & Hutch,101 min,101.0
Streets of Fire,94 min,94.0
Super Monsters: Once Upon a Rhyme,25 min,25.0
Swordfish,99 min,99.0
The Four Seasons,108 min,108.0
The Girl King,106 min,106.0
The Interpreter,128 min,128.0
The Meddler,104 min,104.0
The Mirror Has Two Faces,127 min,127.0
The Outlaw Josey Wales,136 min,136.0
The Wedding Guest,97 min,97.0
